1	2
2	5
3	2
3	4
4	5
5	6
5	7
5	8
6	12
7	9
8	9
8	10
8	11
9	12
10	13
11	14
12	15
13	15
14	16
15	17
16	15
17	18
17	20
18	19
18	21
18	22
18	23
19	24
19	25
20	24
20	25
21	24
21	25
22	24
22	25
23	24
23	25
24	27
25	26
26	27
26	28
27	29
28	29
28	30
29	31
29	32
30	31
31	32
32	33
33	34
33	35
33	36
33	37
33	38
34	41
35	39
36	40
36	42
37	42
38	43
39	45
41	44
42	45
42	46
43	46
43	47
44	54
45	48
45	49
46	50
47	50
47	55
48	51
49	51
49	52
49	53
50	53
51	57
52	56
53	56
54	58
55	60
55	62
56	62
57	59
58	61
59	63
59	63
61	63
62	61
63	64
63	65
63	66
63	67
63	68
64	69
64	70
65	69
66	70
67	71
68	71
69	75
70	74
71	72
71	73
72	77
73	77
75	76
76	78
77	79
78	80
79	80
